content,label
黄帝是少典部族的后裔，黄帝姓公孙，黄帝名轩辕,
黄帝有灵性，黄帝善于言辞,
黄帝征讨那些不来朝贡的诸侯，各诸侯来归从,
炎帝想进攻欺压诸侯，诸侯来归从黄帝,
黄帝修行德业，黄帝整顿军旅，黄帝研究四时节气变化，黄帝种植五谷，黄帝安抚民众，黄帝训练熊罴貔貅貙虎等猛兽，黄帝征服炎帝,
蚩尤发动叛乱，蚩尤不听从黄帝之命。黄帝征调军队，黄帝擒获蚩尤，黄帝杀死蚩尤,
诸侯尊奉黄帝,
轩辕是黄帝,
黄帝到东海，黄帝登丸山和泰山,
黄帝到空桐，黄帝登鸡头山,
黄帝到长江，黄帝登熊山,
黄帝驱逐荤粥部族，黄帝来到釜山，黄帝合验符契，黄帝建都邑,
黄帝迁徙，黄帝没有住处，黄帝设置军营,
黄帝用云命名官职，军队号称云师,
黄帝设置左右大监察诸侯国,
黄帝获得天赐给的宝鼎，黄帝观测太阳的运行，黄帝推算历法，黄帝预知节气日辰,
黄帝任用风后、力牧、常先、大鸿等治理民众,
黄帝顺应天地四时的规律，黄帝推测阴阳的变化，黄帝讲解生死的道理，黄帝论述存与亡的原因，黄帝播种百谷草木，黄帝驯养鸟兽蚕虫，黄帝测定日月星辰，黄帝收取土石金玉，黄帝使用水火木材及各种财物,
黄帝有土这种属性的祥瑞征兆，黄帝做天子号称黄帝,
黄帝有二十五个儿子，建立自己姓氏的有十四人,
黄帝居住在轩辕山，黄帝娶西陵国的女儿，这是嫘祖。嫘祖是黄帝的正妃，他们的后代领天下，一个叫玄嚣，玄嚣降居在江水。另一个叫昌意，昌意降居在若水,
黄帝号为有熊,
